Neighborhood,Population
Allston,"31,810"
Back Bay,"17,683"
Bay Village,"1,300"
Beacon Hill,"9,327"
Brighton,"55,869"
Charlestown,"19,232"
Chinatown,"6,071"
Dorchester,"123,056"
Downtown,"15,052"
East Boston,"46,892"
Fenway,"42,351"
Hyde Park,"33,469"
Jamaica Plain,"42,949"
Leather District,"1,000"
Longwood,"5,553"
Mattapan,"24,424"
Mission Hill,"19,000"
North End,"10,635"
Roslindale,"29,378"
Roxbury,"56,800"
South Boston,"40,904"
South Boston Waterfront,"8,289"
South End,"34,582"
West End,"9,306"
West Roxbury,"31,381"
